TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
1023510	BuildingBattleGradeTip		不行	Bad	Bad	Bad	Bad	Bad	Bad	Bad	Bad	Bad	Bad	Bad	Bad	Bad
1023511	BuildingBattleGradeTip		过关	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass
1023512	BuildingBattleGradeTip		挺好的	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good
1023513	BuildingBattleGradeTip		棒	Very good	Very good	Very good	Very good	Very good	Very good	Very good	Very good	Very good	Very good	Very good	Very good	Very good
1023514	BuildingBattleGradeTip		神作啊！	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect	Perfect
1023515	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000这是什么鬼！	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell
1023516	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000不行	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad
1023517	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000过关	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass
1023518	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000挺好的	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good
1023519	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000棒	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good
1023520	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000神作啊！	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect
1023521	BuildingBattleWinner		▢FF00FF00第一名：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s
1023522	BuildingBattleCanNotGradeSelf		▢FFFF0000无法给自己打分	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!
																
																
																
																
																
																
		#1023001~1023500题库														
1023001	BuildingBattleQuestion	苹果	苹果	Apple	Apple	Apple	Apple	Apple	Apple	Apple	Apple	Apple	Apple	Apple	Apple	Apple
1023002	BuildingBattleQuestion	香蕉	香蕉	Banana	Banana	Banana	Banana	Banana	Banana	Banana	Banana	Banana	Banana	Banana	Banana	Banana
1023003	BuildingBattleQuestion	西瓜	西瓜	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon
1023004	BuildingBattleQuestion	葡萄	葡萄	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes	Grapes
1023005	BuildingBattleQuestion	菠萝	菠萝	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple
1023006	BuildingBattleQuestion	医生	医生	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor	Doctor
1023007	BuildingBattleQuestion	护士	护士	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse	Nurse
1023008	BuildingBattleQuestion	警察	警察	Police	Police	Police	Police	Police	Police	Police	Police	Police	Police	Police	Police	Police
1023009	BuildingBattleQuestion	公主	公主	Princess	Princess	Princess	Princess	Princess	Princess	Princess	Princess	Princess	Princess	Princess	Princess	Princess
1023010	BuildingBattleQuestion	国王	国王	King	King	King	King	King	King	King	King	King	King	King	King	King
1023011	BuildingBattleQuestion	雪人	雪人	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman	Snowman
1023012	BuildingBattleQuestion	猫	猫	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat
1023013	BuildingBattleQuestion	狗	狗	Dog	Dog	Dog	Dog	Dog	Dog	Dog	Dog	Dog	Dog	Dog	Dog	Dog
1023014	BuildingBattleQuestion	牛	牛	Cow	Cow	Cow	Cow	Cow	Cow	Cow	Cow	Cow	Cow	Cow	Cow	Cow
1023015	BuildingBattleQuestion	羊	羊	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep	Sheep
1023016	BuildingBattleQuestion	企鹅	企鹅	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin	Penguin
1023017	BuildingBattleQuestion	猪	猪	Pig	Pig	Pig	Pig	Pig	Pig	Pig	Pig	Pig	Pig	Pig	Pig	Pig
1023018	BuildingBattleQuestion	恐龙	恐龙	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur
1023019	BuildingBattleQuestion	床	床	Bed	Bed	Bed	Bed	Bed	Bed	Bed	Bed	Bed	Bed	Bed	Bed	Bed
1023020	BuildingBattleQuestion	衣柜	衣柜	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe
1023021	BuildingBattleQuestion	沙发	沙发	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa
1023022	BuildingBattleQuestion	书桌	书桌	Desk	Desk	Desk	Desk	Desk	Desk	Desk	Desk	Desk	Desk	Desk	Desk	Desk
1023023	BuildingBattleQuestion	椅子	椅子	Chair	Chair	Chair	Chair	Chair	Chair	Chair	Chair	Chair	Chair	Chair	Chair	Chair
1023024	BuildingBattleQuestion	伞	伞	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella
1023025	BuildingBattleQuestion	杯子	杯子	Cup	Cup	Cup	Cup	Cup	Cup	Cup	Cup	Cup	Cup	Cup	Cup	Cup
1023026	BuildingBattleQuestion	公交车	公交车	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus	Bus
1023027	BuildingBattleQuestion	大卡车	大卡车	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks	Trucks
1023028	BuildingBattleQuestion	小汽车	小汽车	Car	Car	Car	Car	Car	Car	Car	Car	Car	Car	Car	Car	Car
1023029	BuildingBattleQuestion	救护车	救护车	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance
1023030	BuildingBattleQuestion	警车	警车	Police car	Police car	Police car	Police car	Police car	Police car	Police car	Police car	Police car	Police car	Police car	Police car	Police car
1023031	BuildingBattleQuestion	飞机	飞机	Plane	Plane	Plane	Plane	Plane	Plane	Plane	Plane	Plane	Plane	Plane	Plane	Plane
1023032	BuildingBattleQuestion	钻石剑	钻石剑	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword
1023033	BuildingBattleQuestion	房子	房子	House	House	House	House	House	House	House	House	House	House	House	House	House
1023034	BuildingBattleQuestion	树	树	Tree	Tree	Tree	Tree	Tree	Tree	Tree	Tree	Tree	Tree	Tree	Tree	Tree
1023035	BuildingBattleQuestion	篮球	篮球	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball	Basketball
1023036	BuildingBattleQuestion	云朵	云朵	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds	Clouds
1023037	BuildingBattleQuestion	钻石	钻石	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond	Diamond
1023038	BuildingBattleQuestion	橄榄球	橄榄球	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby	Rugby
1023039	BuildingBattleQuestion	南瓜	南瓜	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin
1023040	BuildingBattleQuestion	草莓	草莓	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry
1023041	BuildingBattleQuestion	大象	大象	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant	Elephant
1023042	BuildingBattleQuestion	电脑	电脑	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
1023043	BuildingBattleQuestion	蜘蛛	蜘蛛	Spider	Spider	Spider	Spider	Spider	Spider	Spider	Spider	Spider	Spider	Spider	Spider	Spider
1023044	BuildingBattleQuestion	狮子	狮子	Lion	Lion	Lion	Lion	Lion	Lion	Lion	Lion	Lion	Lion	Lion	Lion	Lion
1023045	BuildingBattleQuestion	老虎	老虎	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger	Tiger
1023046	BuildingBattleQuestion	青蛙	青蛙	Frog	Frog	Frog	Frog	Frog	Frog	Frog	Frog	Frog	Frog	Frog	Frog	Frog
1023047	BuildingBattleQuestion	山	山	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain	Mountain
1023048	BuildingBattleQuestion	机器人	机器人	Robot	Robot	Robot	Robot	Robot	Robot	Robot	Robot	Robot	Robot	Robot	Robot	Robot
1023049	BuildingBattleQuestion	僵尸	僵尸	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies	Zombies
1023050	BuildingBattleQuestion	绿巨人	绿巨人	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk	The hulk
1023051	BuildingBattleQuestion	手机	手机	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone
1023052	BuildingBattleQuestion	电视	电视	Television	Television	Television	Television	Television	Television	Television	Television	Television	Television	Television	Television	Television
1023053	BuildingBattleQuestion	衣服	衣服	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes	Clothes
1023054	BuildingBattleQuestion	橘子	橘子	Orange	Orange	Orange	Orange	Orange	Orange	Orange	Orange	Orange	Orange	Orange	Orange	Orange
1023055	BuildingBattleQuestion	坦克	坦克	Tank	Tank	Tank	Tank	Tank	Tank	Tank	Tank	Tank	Tank	Tank	Tank	Tank
1023056	BuildingBattleQuestion	松鼠	松鼠	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel
1023057	BuildingBattleQuestion	人	人	People	People	People	People	People	People	People	People	People	People	People	People	People
1023058	BuildingBattleQuestion	枪	枪	Gun	Gun	Gun	Gun	Gun	Gun	Gun	Gun	Gun	Gun	Gun	Gun	Gun
1023059	BuildingBattleQuestion	水果	水果	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits	Fruits
1023060	BuildingBattleQuestion	蔬菜	蔬菜	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables
